order_id,order_timestamp,delivered_timestamp,driver_id,restaurant_id,cust_id,delivery_region,discount_applied,discount_code,order_total,discount_pc,status
100001,2021-11-26 18:22:00,2021-11-26 18:49:00,273,105,1016,Dublin,True,BLACKFRIDAY21,69.46,20.0,COMPLETED
100002,2021-07-11 21:23:00,2021-07-11 21:53:00,43,219,1017,Cork,False,No Discount,69.4,0.0,COMPLETED
100003,2021-04-27 17:28:00,2021-04-27 17:55:00,299,48,1019,Dublin,False,No Discount,47.16,0.0,COMPLETED
100004,2021-02-22 18:08:00,2021-02-22 18:35:00,320,233,1020,Dublin,False,No Discount,47.15,0.0,COMPLETED
100005,2021-06-21 18:14:00,2021-06-21 18:44:00,41,207,1024,Dublin,False,No Discount,47.0,0.0,COMPLETED
100006,2021-08-15 18:15:00,2021-08-15 18:45:00,154,83,1025,Cork,False,No Discount,46.88,0.0,COMPLETED
100007,2021-08-27 19:18:00,2021-08-27 19:48:00,160,194,1028,Cork,False,No Discount,46.78,0.0,COMPLETED
100008,2021-12-18 18:52:00,2021-12-18 19:19:00,60,83,1013,Dublin,False,No Discount,46.67,0.0,COMPLETED
100009,2021-11-17 19:30:00,2021-11-17 19:57:00,172,228,1017,Dublin,False,No Discount,46.56,0.0,COMPLETED
100010,2021-05-29 17:09:00,2021-05-29 17:36:00,373,9,1019,Dublin,False,No Discount,46.4,0.0,COMPLETED
100011,2021-11-03 23:15:00,2021-11-03 23:42:00,319,18,1020,Cork,False,No Discount,46.28,0.0,COMPLETED
100012,2021-11-26 18:22:00,2021-11-26 18:49:00,90,6,1024,Dublin,True,BLACKFRIDAY21,46.13,20.0,COMPLETED
100013,2021-08-12 20:21:00,2021-08-12 20:51:00,290,295,1032,Cork,False,No Discount,45.68,0.0,COMPLETED
100014,2021-08-19 22:30:00,2021-08-19 23:00:00,360,64,1035,Cork,False,No Discount,45.59,0.0,COMPLETED
100015,2021-11-05 17:08:00,2021-11-05 17:35:00,156,9,1044,Cork,False,No Discount,45.04,0.0,COMPLETED
100016,2021-11-30 18:20:00,2021-11-30 18:47:00,34,205,1045,Dublin,False,No Discount,44.99,0.0,COMPLETED
100017,2021-08-14 19:47:00,2021-08-14 20:17:00,367,20,1047,Cork,False,No Discount,44.93,0.0,COMPLETED
100018,2021-07-11 18:15:00,2021-07-11 18:45:00,216,264,1048,Cork,False,No Discount,44.55,0.0,COMPLETED
